SERIAL_NUMBER,LOCAL_CODE,LOCAL_NAME,YEAR,POPULATION,POPULATION_BIRTH,POPULATION_DEATH,POPULATION_DEATH_U1,GDP,GDP_PC,SANITATION,BIRTH_RATE,IMR,CMR,AGE,POPULATION_TARGET,INDICATOR,FL_DROPOUT,NU_DOSE_FIRST,NU_DOSE_FINAL,NU_DROPOUT,PC_DROPOUT,PC_COVERAGE,FL_GOAL,CAT_GOAL,MHDI_E_CATEGORY,MHDI_L_CATEGORY,MHDI_I_CATEGORY
32,110011,Jaru,2020,51620,892,315,9,1500889.69,28988.69512,15.11,17.2801,10.0897,6.1023,0-1 year,892,FL_U1_BCG,0,,878,,,98.43,1,3,satisfactory,high,satisfactory
33,110011,Jaru,2021,51469,922,456,13,1500889.69,28988.69512,15.11,17.9137,14.0998,8.8597,0-1 year,922,FL_U1_BCG,0,,583,,,63.23,0,2,satisfactory,high,satisfactory
34,110012,Ji-Paraná,2019,128969,2182,650,25,3782971.683,29332.41076,5.87,16.9188,11.4574,5.04,0-1 year,2182,FL_U1_BCG,0,,2183,,,100.05,1,3,satisfactory,high,satisfactory
35,110012,Ji-Paraná,2020,130009,2132,648,24,3782971.683,29332.41076,5.87,16.3989,11.257,4.9843,0-1 year,2132,FL_U1_BCG,0,,2389,,,112.05,1,3,satisfactory,high,satisfactory
36,110012,Ji-Paraná,2021,131026,1960,1099,19,3782971.683,29332.41076,5.87,14.9589,9.6939,8.3876,0-1 year,1960,FL_U1_BCG,0,,1861,,,94.95,1,3,satisfactory,high,satisfactory
37,110013,Machadinho D'Oeste,2019,39991,500,129,10,633006.802,15828.73151,17.19,12.5028,20,3.2257,0-1 year,500,FL_U1_BCG,0,,323,,,64.6,0,2,low,high,satisfactory
38,110013,Machadinho D'Oeste,2020,40867,561,141,3,633006.802,15828.73151,17.19,13.7275,5.3476,3.4502,0-1 year,561,FL_U1_BCG,0,,447,,,79.68,0,2,low,high,satisfactory
39,110013,Machadinho D'Oeste,2021,41724,468,252,5,633006.802,15828.73151,17.19,11.2166,10.6838,6.0397,0-1 year,468,FL_U1_BCG,0,,375,,,80.13,0,2,low,high,satisfactory
40,110014,Nova Brasilândia D'Oeste,2019,20474,261,105,8,359524.037,17560.02916,9.6,12.7479,30.6513,5.1285,0-1 year,261,FL_U1_BCG,0,,277,,,106.13,1,3,satisfactory,high,satisfactory
41,110014,Nova Brasilândia D'Oeste,2020,20489,230,98,2,359524.037,17560.02916,9.6,11.2255,8.6957,4.7831,0-1 year,230,FL_U1_BCG,0,,119,,,51.74,0,2,satisfactory,high,satisfactory
42,110014,Nova Brasilândia D'Oeste,2021,20504,231,137,2,359524.037,17560.02916,9.6,11.2661,8.658,6.6816,0-1 year,231,FL_U1_BCG,0,,186,,,80.52,0,2,satisfactory,high,satisfactory
43,110015,Ouro Preto do Oeste,2019,36035,631,242,9,834168.267,23148.83494,5.61,17.5108,14.2631,6.7157,0-1 year,631,FL_U1_BCG,0,,487,,,77.18,0,2,satisfactory,high,satisfactory
44,110015,Ouro Preto do Oeste,2020,35737,600,0,0,834168.267,23148.83494,5.61,16.7893,0,0,0-1 year,600,FL_U1_BCG,0,,334,,,55.67,0,2,satisfactory,high,satisfactory
45,110015,Ouro Preto do Oeste,2021,35445,538,359,6,834168.267,23148.83494,5.61,15.1784,11.1524,10.1284,0-1 year,538,FL_U1_BCG,0,,339,,,63.01,0,2,satisfactory,high,satisfactory
46,110018,Pimenta Bueno,2019,36660,616,217,8,1163876.976,31747.87169,4.7,16.8031,12.987,5.9193,0-1 year,616,FL_U1_BCG,0,,568,,,92.21,1,3,satisfactory,high,satisfactory
47,110018,Pimenta Bueno,2020,36881,579,215,9,1163876.976,31747.87169,4.7,15.6991,15.544,5.8296,0-1 year,579,FL_U1_BCG,0,,566,,,97.75,1,3,satisfactory,high,satisfactory
48,110018,Pimenta Bueno,2021,37098,566,323,11,1163876.976,31747.87169,4.7,15.2569,19.4346,8.7067,0-1 year,566,FL_U1_BCG,0,,511,,,90.28,1,3,satisfactory,high,satisfactory
49,110025,Presidente Médici,2019,18986,304,111,3,427751.732,22529.84999,9.63,16.0118,9.8684,5.8464,0-1 year,304,FL_U1_BCG,0,,229,,,75.33,0,2,satisfactory,high,satisfactory
50,110025,Presidente Médici,2020,18571,259,142,2,427751.732,22529.84999,9.63,13.9465,7.722,7.6463,0-1 year,259,FL_U1_BCG,0,,193,,,74.52,0,2,satisfactory,high,satisfactory
51,110025,Presidente Médici,2021,18165,254,190,1,427751.732,22529.84999,9.63,13.9829,3.937,10.4597,0-1 year,254,FL_U1_BCG,0,,220,,,86.61,0,2,satisfactory,high,satisfactory
52,110026,Rio Crespo,2019,3764,50,12,1,111023.296,29496.09352,8.15,13.2837,20,3.1881,0-1 year,50,FL_U1_BCG,0,,30,,,60,0,2,satisfactory,high,satisfactory
53,110026,Rio Crespo,2020,3804,48,17,1,111023.296,29496.09352,8.15,12.6183,20.8333,4.469,0-1 year,48,FL_U1_BCG,0,,46,,,95.83,1,3,satisfactory,high,satisfactory
54,110026,Rio Crespo,2021,3843,48,0,0,111023.296,29496.09352,8.15,12.4902,0,0,0-1 year,48,FL_U1_BCG,0,,34,,,70.83,0,2,satisfactory,high,satisfactory
55,110028,Rolim de Moura,2019,55058,927,317,8,1283433.654,23310.57528,4.5,16.8368,8.63,5.7576,0-1 year,927,FL_U1_BCG,0,,581,,,62.68,0,2,satisfactory,high,satisfactory
56,110028,Rolim de Moura,2020,55407,877,316,8,1283433.654,23310.57528,4.5,15.8283,9.122,5.7033,0-1 year,877,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
57,110028,Rolim de Moura,2021,55748,773,485,8,1283433.654,23310.57528,4.5,13.866,10.3493,8.6999,0-1 year,773,FL_U1_BCG,0,,511,,,66.11,0,2,satisfactory,high,satisfactory
58,110029,Santa Luzia D'Oeste,2019,6495,99,0,0,142611.547,21957.1281,8.09,15.2425,0,0,0-1 year,99,FL_U1_BCG,0,,46,,,46.46,0,1,satisfactory,high,satisfactory
59,110029,Santa Luzia D'Oeste,2020,6216,99,43,1,142611.547,21957.1281,8.09,15.9266,10.101,6.9176,0-1 year,99,FL_U1_BCG,0,,39,,,39.39,0,1,satisfactory,high,satisfactory
60,110029,Santa Luzia D'Oeste,2021,5942,76,0,0,142611.547,21957.1281,8.09,12.7903,0,0,0-1 year,76,FL_U1_BCG,0,,1,,,1.32,0,1,satisfactory,high,satisfactory
61,110030,Vilhena,2019,99854,1590,476,14,2831175.371,28353.14931,1.55,15.9232,8.805,4.767,0-1 year,1590,FL_U1_BCG,0,,2236,,,140.63,1,4,satisfactory,high,satisfactory
62,110030,Vilhena,2020,102211,1553,592,16,2831175.371,28353.14931,1.55,15.1941,10.3026,5.7919,0-1 year,1553,FL_U1_BCG,0,,1148,,,73.92,0,2,satisfactory,high,satisfactory
63,110030,Vilhena,2021,104517,1598,767,17,2831175.371,28353.14931,1.55,15.2894,10.6383,7.3385,0-1 year,1598,FL_U1_BCG,0,,2088,,,130.66,1,4,satisfactory,high,satisfactory
64,110032,São Miguel do Guaporé,2019,23005,353,118,8,615803.842,26768.2609,9.43,15.3445,22.6629,5.1293,0-1 year,353,FL_U1_BCG,0,,313,,,88.67,0,2,satisfactory,high,satisfactory
65,110032,São Miguel do Guaporé,2020,23077,363,129,5,615803.842,26768.2609,9.43,15.7299,13.7741,5.59,0-1 year,363,FL_U1_BCG,0,,228,,,62.81,0,2,satisfactory,high,satisfactory
66,110032,São Miguel do Guaporé,2021,23147,341,163,4,615803.842,26768.2609,9.43,14.7319,11.7302,7.0419,0-1 year,341,FL_U1_BCG,0,,139,,,40.76,0,1,satisfactory,high,satisfactory
67,110033,Nova Mamoré,2019,30583,432,118,4,529261.253,17305.73368,31.57,14.1255,9.2593,3.8584,0-1 year,432,FL_U1_BCG,0,,278,,,64.35,0,2,low,high,satisfactory
68,110033,Nova Mamoré,2020,31392,423,121,3,529261.253,17305.73368,31.57,13.4748,7.0922,3.8545,0-1 year,423,FL_U1_BCG,0,,272,,,64.3,0,2,low,high,satisfactory
69,110033,Nova Mamoré,2021,32184,456,184,4,529261.253,17305.73368,31.57,14.1685,8.7719,5.7171,0-1 year,456,FL_U1_BCG,0,,98,,,21.49,0,1,low,high,satisfactory
70,110034,Alvorada D'Oeste,2019,14411,205,77,1,260347.872,18065.91298,7.37,14.2252,4.878,5.3431,0-1 year,205,FL_U1_BCG,0,,139,,,67.8,0,2,satisfactory,high,satisfactory
71,110034,Alvorada D'Oeste,2020,14106,210,89,2,260347.872,18065.91298,7.37,14.8873,9.5238,6.3094,0-1 year,210,FL_U1_BCG,0,,116,,,55.24,0,2,satisfactory,high,satisfactory
72,110034,Alvorada D'Oeste,2021,13807,199,0,0,260347.872,18065.91298,7.37,14.413,0,0,0-1 year,199,FL_U1_BCG,0,,61,,,30.65,0,1,satisfactory,high,satisfactory
73,110037,Alto Alegre dos Parecis,2019,13241,154,52,1,288681.169,21802.06699,15.73,11.6305,6.4935,3.9272,0-1 year,154,FL_U1_BCG,0,,94,,,61.04,0,2,low,high,satisfactory
74,110037,Alto Alegre dos Parecis,2020,13255,146,0,0,288681.169,21802.06699,15.73,11.0147,0,0,0-1 year,146,FL_U1_BCG,0,,83,,,56.85,0,2,low,high,satisfactory
75,110037,Alto Alegre dos Parecis,2021,13268,134,103,1,288681.169,21802.06699,15.73,10.0995,7.4627,7.763,0-1 year,134,FL_U1_BCG,0,,62,,,46.27,0,1,low,high,satisfactory
76,110040,Alto Paraíso,2019,21428,226,75,1,358463.741,16728.75401,15.58,10.5469,4.4248,3.5001,0-1 year,226,FL_U1_BCG,0,,147,,,65.04,0,2,low,high,satisfactory
77,110040,Alto Paraíso,2020,21847,218,92,1,358463.741,16728.75401,15.58,9.9785,4.5872,4.2111,0-1 year,218,FL_U1_BCG,0,,180,,,82.57,0,2,low,high,satisfactory
78,110040,Alto Paraíso,2021,22258,223,122,2,358463.741,16728.75401,15.58,10.0189,8.9686,5.4812,0-1 year,223,FL_U1_BCG,0,,71,,,31.84,0,1,low,high,satisfactory
79,110045,Buritis,2019,39654,583,147,3,726030.847,18309.14528,13.51,14.7022,5.1458,3.7071,0-1 year,583,FL_U1_BCG,0,,730,,,125.21,1,4,low,high,satisfactory
80,110045,Buritis,2020,40356,508,158,4,726030.847,18309.14528,13.51,12.588,7.874,3.9152,0-1 year,508,FL_U1_BCG,0,,628,,,123.62,1,4,low,high,satisfactory
81,110045,Buritis,2021,41043,535,262,9,726030.847,18309.14528,13.51,13.0351,16.8224,6.3835,0-1 year,535,FL_U1_BCG,0,,597,,,111.59,1,3,low,high,satisfactory
82,110050,Novo Horizonte do Oeste,2019,8538,98,0,0,165757.502,19414.09019,8.4,11.4781,0,0,0-1 year,98,FL_U1_BCG,0,,76,,,77.55,0,2,satisfactory,high,satisfactory
83,110050,Novo Horizonte do Oeste,2020,8329,77,42,1,165757.502,19414.09019,8.4,9.2448,12.987,5.0426,0-1 year,77,FL_U1_BCG,0,,38,,,49.35,0,1,satisfactory,high,satisfactory
84,110050,Novo Horizonte do Oeste,2021,8125,80,75,1,165757.502,19414.09019,8.4,9.8462,12.5,9.2308,0-1 year,80,FL_U1_BCG,0,,41,,,51.25,0,2,satisfactory,high,satisfactory
85,110060,Cacaulândia,2019,6230,75,0,0,144436.935,23184.09872,10.75,12.0385,0,0,0-1 year,75,FL_U1_BCG,0,,59,,,78.67,0,2,satisfactory,high,satisfactory
86,110060,Cacaulândia,2020,6269,70,0,0,144436.935,23184.09872,10.75,11.1661,0,0,0-1 year,70,FL_U1_BCG,0,,17,,,24.29,0,1,satisfactory,high,satisfactory
87,110060,Cacaulândia,2021,6307,60,0,0,144436.935,23184.09872,10.75,9.5132,0,0,0-1 year,60,FL_U1_BCG,0,,12,,,20,0,1,satisfactory,high,satisfactory
88,110070,Campo Novo de Rondônia,2019,14139,166,43,2,274627.494,19423.40293,16.2,11.7406,12.0482,3.0412,0-1 year,166,FL_U1_BCG,0,,40,,,24.1,0,1,low,high,satisfactory
89,110070,Campo Novo de Rondônia,2020,14266,173,47,1,274627.494,19423.40293,16.2,12.1267,5.7803,3.2945,0-1 year,173,FL_U1_BCG,0,,46,,,26.59,0,1,low,high,satisfactory
90,110070,Campo Novo de Rondônia,2021,14391,131,63,2,274627.494,19423.40293,16.2,9.1029,15.2672,4.3777,0-1 year,131,FL_U1_BCG,0,,34,,,25.95,0,1,low,high,satisfactory
91,110080,Candeias do Jamari,2019,26693,337,128,8,547919.043,20526.694,16.08,12.625,23.7389,4.7953,0-1 year,337,FL_U1_BCG,0,,26,,,7.72,0,1,satisfactory,high,satisfactory
92,110080,Candeias do Jamari,2020,27388,340,159,2,547919.043,20526.694,16.08,12.4142,5.8824,5.8055,0-1 year,340,FL_U1_BCG,0,,19,,,5.59,0,1,satisfactory,high,satisfactory
93,110080,Candeias do Jamari,2021,28068,350,193,7,547919.043,20526.694,16.08,12.4697,20,6.8762,0-1 year,350,FL_U1_BCG,0,,16,,,4.57,0,1,satisfactory,high,satisfactory
94,110090,Castanheiras,2019,3052,32,0,0,103962.662,34063.78178,5.47,10.4849,0,0,0-1 year,32,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
95,110090,Castanheiras,2020,2987,37,16,1,103962.662,34063.78178,5.47,12.387,27.027,5.3565,0-1 year,37,FL_U1_BCG,0,,1,,,2.7,0,1,satisfactory,high,satisfactory
96,110090,Castanheiras,2021,2923,36,25,1,103962.662,34063.78178,5.47,12.3161,27.7778,8.5529,0-1 year,36,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
97,110092,Chupinguaia,2019,11182,162,41,1,304759.319,27254.45529,8.08,14.4876,6.1728,3.6666,0-1 year,162,FL_U1_BCG,0,,12,,,7.41,0,1,satisfactory,high,satisfactory
98,110092,Chupinguaia,2020,11472,162,36,1,304759.319,27254.45529,8.08,14.1213,6.1728,3.1381,0-1 year,162,FL_U1_BCG,0,,10,,,6.17,0,1,satisfactory,high,satisfactory
99,110092,Chupinguaia,2021,11755,152,69,2,304759.319,27254.45529,8.08,12.9307,13.1579,5.8698,0-1 year,152,FL_U1_BCG,0,,11,,,7.24,0,1,satisfactory,high,satisfactory
100,110094,Cujubim,2019,25215,205,0,0,384877.74,15263.84057,21.04,8.1301,0,0,0-1 year,205,FL_U1_BCG,0,,147,,,71.71,0,2,low,high,satisfactory
101,110094,Cujubim,2020,26183,246,75,7,384877.74,15263.84057,21.04,9.3954,28.4553,2.8645,0-1 year,246,FL_U1_BCG,0,,202,,,82.11,0,2,low,high,satisfactory
102,110094,Cujubim,2021,27131,241,105,2,384877.74,15263.84057,21.04,8.8828,8.2988,3.8701,0-1 year,241,FL_U1_BCG,0,,95,,,39.42,0,1,low,high,satisfactory
103,110100,Governador Jorge Teixeira,2019,7767,112,58,2,177921.665,22907.38573,6.33,14.42,17.8571,7.4675,0-1 year,112,FL_U1_BCG,0,,93,,,83.04,0,2,low,high,satisfactory
104,110100,Governador Jorge Teixeira,2020,7445,86,41,1,177921.665,22907.38573,6.33,11.5514,11.6279,5.5071,0-1 year,86,FL_U1_BCG,0,,58,,,67.44,0,2,low,high,satisfactory
105,110100,Governador Jorge Teixeira,2021,7130,105,49,2,177921.665,22907.38573,6.33,14.7265,19.0476,6.8724,0-1 year,105,FL_U1_BCG,0,,109,,,103.81,1,3,low,high,satisfactory
106,110110,Itapuã do Oeste,2019,10458,109,0,0,184014.424,17595.5655,23.92,10.4226,0,0,0-1 year,109,FL_U1_BCG,0,,86,,,78.9,0,2,low,high,satisfactory
107,110110,Itapuã do Oeste,2020,10641,119,52,2,184014.424,17595.5655,23.92,11.1832,16.8067,4.8868,0-1 year,119,FL_U1_BCG,0,,59,,,49.58,0,1,low,high,satisfactory
108,110110,Itapuã do Oeste,2021,10819,118,54,1,184014.424,17595.5655,23.92,10.9067,8.4746,4.9912,0-1 year,118,FL_U1_BCG,0,,33,,,27.97,0,1,low,high,satisfactory
109,110120,Ministro Andreazza,2019,9660,84,0,0,216408.886,22402.57619,4.71,8.6957,0,0,0-1 year,84,FL_U1_BCG,0,,1,,,1.19,0,1,satisfactory,high,satisfactory
110,110120,Ministro Andreazza,2020,9559,74,36,2,216408.886,22402.57619,4.71,7.7414,27.027,3.7661,0-1 year,74,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
111,110120,Ministro Andreazza,2021,9461,65,54,1,216408.886,22402.57619,4.71,6.8703,15.3846,5.7076,0-1 year,65,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
112,110130,Mirante da Serra,2019,10947,164,62,1,217045.865,19826.97223,10.98,14.9813,6.0976,5.6637,0-1 year,164,FL_U1_BCG,0,,125,,,76.22,0,2,low,high,satisfactory
113,110130,Mirante da Serra,2020,10818,168,61,1,217045.865,19826.97223,10.98,15.5297,5.9524,5.6388,0-1 year,168,FL_U1_BCG,0,,86,,,51.19,0,2,low,high,satisfactory
114,110130,Mirante da Serra,2021,10691,152,76,2,217045.865,19826.97223,10.98,14.2176,13.1579,7.1088,0-1 year,152,FL_U1_BCG,0,,66,,,43.42,0,1,low,high,satisfactory
115,110140,Monte Negro,2019,15852,199,98,2,291768.159,18405.76325,9.55,12.5536,10.0503,6.1822,0-1 year,199,FL_U1_BCG,0,,143,,,71.86,0,2,low,high,satisfactory
116,110140,Monte Negro,2020,16007,167,0,0,291768.159,18405.76325,9.55,10.4329,0,0,0-1 year,167,FL_U1_BCG,0,,156,,,93.41,1,3,low,high,satisfactory
117,110140,Monte Negro,2021,16158,175,100,3,291768.159,18405.76325,9.55,10.8305,17.1429,6.1889,0-1 year,175,FL_U1_BCG,0,,88,,,50.29,0,2,low,high,satisfactory
118,110143,Nova União,2019,6970,104,30,1,117333.597,16834.08852,11.65,14.9211,9.6154,4.3042,0-1 year,104,FL_U1_BCG,0,,68,,,65.38,0,2,low,high,satisfactory
119,110143,Nova União,2020,6895,87,38,1,117333.597,16834.08852,11.65,12.6178,11.4943,5.5112,0-1 year,87,FL_U1_BCG,0,,101,,,116.09,1,3,low,high,satisfactory
120,110143,Nova União,2021,6822,85,55,2,117333.597,16834.08852,11.65,12.4597,23.5294,8.0622,0-1 year,85,FL_U1_BCG,0,,67,,,78.82,0,2,low,high,satisfactory
121,110145,Parecis,2019,6074,44,0,0,107282.707,17662.61228,9.93,7.244,0,0,0-1 year,44,FL_U1_BCG,0,,31,,,70.45,0,2,low,high,satisfactory
122,110145,Parecis,2020,6198,59,22,1,107282.707,17662.61228,9.93,9.5192,16.9492,3.5495,0-1 year,59,FL_U1_BCG,0,,21,,,35.59,0,1,low,high,satisfactory
123,110145,Parecis,2021,6319,40,0,0,107282.707,17662.61228,9.93,6.3301,0,0,0-1 year,40,FL_U1_BCG,0,,22,,,55,0,2,low,high,satisfactory
124,110146,Pimenteiras do Oeste,2019,2169,40,0,0,116503.314,53712.91563,10.81,18.4417,0,0,0-1 year,40,FL_U1_BCG,0,,10,,,25,0,1,satisfactory,high,satisfactory
125,110146,Pimenteiras do Oeste,2020,2148,39,0,0,116503.314,53712.91563,10.81,18.1564,0,0,0-1 year,39,FL_U1_BCG,0,,2,,,5.13,0,1,satisfactory,high,satisfactory
126,110146,Pimenteiras do Oeste,2021,2127,42,14,1,116503.314,53712.91563,10.81,19.7461,23.8095,6.582,0-1 year,42,FL_U1_BCG,0,,0,,,0,0,1,satisfactory,high,satisfactory
127,110147,Primavera de Rondônia,2019,2856,43,27,2,61841.297,21653.1152,7.54,15.056,46.5116,9.4538,0-1 year,43,FL_U1_BCG,0,,44,,,102.33,1,3,satisfactory,high,satisfactory
128,110147,Primavera de Rondônia,2020,2776,38,0,0,61841.297,21653.1152,7.54,13.6888,0,0,0-1 year,38,FL_U1_BCG,0,,33,,,86.84,0,2,satisfactory,high,satisfactory
129,110147,Primavera de Rondônia,2021,2697,40,0,0,61841.297,21653.1152,7.54,14.8313,0,0,0-1 year,40,FL_U1_BCG,0,,21,,,52.5,0,2,satisfactory,high,satisfactory
130,110148,São Felipe D'Oeste,2019,5172,54,39,2,89230.432,17252.59706,6.69,10.4408,37.037,7.5406,0-1 year,54,FL_U1_BCG,0,,46,,,85.19,0,2,satisfactory,high,satisfactory
131,110148,São Felipe D'Oeste,2020,5066,65,0,0,89230.432,17252.59706,6.69,12.8306,0,0,0-1 year,65,FL_U1_BCG,0,,45,,,69.23,0,2,satisfactory,high,satisfactory
132,110148,São Felipe D'Oeste,2021,4962,44,0,0,89230.432,17252.59706,6.69,8.8674,0,0,0-1 year,44,FL_U1_BCG,0,,29,,,65.91,0,2,satisfactory,high,satisfactory
133,110149,São Francisco do Guaporé,2019,20266,303,83,4,353247.213,17430.53454,16.21,14.9511,13.2013,4.0955,0-1 year,303,FL_U1_BCG,0,,263,,,86.8,0,2,low,high,satisfactory
